id,status_of_project,label,planning_approval_street_no,planning_approval_street_name,zip,section_415_declaration_of_intent,section_415_declaration_label,tenure,total_units_in_building_or_phase,final_bmr_on_site,final_bmr_off_site,off_site_units_at_this_site,total_bmr_s_in_this_building_or_phase,principal_project_address,off_site_address,lottery_date,entitlement_yr,building_completion_calendar_year,description,latitude,longitude,location_address,location_city,location_state,location_zip
245,Entitled,346 Potrero,346,Potrero Avenue,94103,ON,On-Site BMR Project,Rental,70,11,0,0,11,,,,2014,,"346 Potrero Avenue, San Francisco, CA 94103",37.76515678,-122.4075242,346 Potrero Avenue,San Francisco,CA,94103
168,First Const Doc Issued,1601 Larkin Street,1601,Larkin Street,94109,FEE,Fee BMR Project,Unknown,27,0,0,0,0,,,,2013,,"1601 Larkin Street, San Francisco, CA 94109",37.79281385,-122.419493,1601 Larkin Street,San Francisco,CA,94109
172,Completed,Magnolia Place,1888,Lombard Street,94123,ON,On-Site BMR Project,Rental,27,3,0,0,3,,,,1999,2001,"1888 Lombard Street, San Francisco, CA 94123",37.80032787,-122.4324435,1888 Lombard Street,San Francisco,CA,94123
24,Completed,2421 16th Street,2401,16th Street,94103,ON,On-Site BMR Project,Ownership,12,1,0,0,1,,,42073,2011,2014,"2401 16th Street, San Francisco, CA 94103",37.76555316,-122.4107783,2401 16th Street,San Francisco,CA,94103
182,First Const Doc Issued,2175 Market Street,2175,Market Street,94114,ON,On-Site BMR Project,Rental,88,13,0,0,13,,,,2012,,"2175 Market Street, San Francisco, CA 94114",37.76639778,-122.4301804,2175 Market Street,San Francisco,CA,94114
122,Completed,118 Wood Street,2743-2761,Geary Blvd.,94103,ON,On-Site BMR Project,Rental,22,2,0,0,2,,,,1998,1999,"2743 Geary Blvd., San Francisco, CA 94118",37.78214372,-122.4487356,2743 Geary Blvd,San Francisco,CA,94118
119,Completed,6900 Geary Blvd,6900,Geary Blvd. (aka 499 33rd Ave.),94121,ON,On-Site BMR Project,Rental,17,2,0,0,2,,,,2000,2004,"6900 Geary Blvd., San Francisco, CA 94121",37.77971816,-122.4936608,6900 Geary Blvd,San Francisco,CA,94121
89,Entitled,San Francisco Overlook,599,Crestmont Drive,94131,FEE,Fee BMR Project,Unknown,34,0,0,0,0,,,,2013,,"599 Crestmont Drive, San Francisco, CA 94131",37.75893848,-122.4594455,599 Crestmont Drive,San Francisco,CA,94131
61,First Const Doc Issued,1622-1650 Broadway,1622-1650,Broadway Blvd,94109,FEE,Fee BMR Project,Unknown,34,0,0,0,0,,,,2009,2015,"1622 Broadway Blvd, San Francisco, CA 94109",37.7956635,-122.4242431,1622 Broadway Blvd,San Francisco,CA,94109
127,Entitled,300 Grant Avenue / 272 & 290 Sutter Street,300,Grant Avenue,94108,FEE,Fee BMR Project,Unknown,45,0,0,0,0,,,,2008,,"300 Grant Avenue, San Francisco, CA 94108",37.78987668,-122.405396,300 Grant Avenue,San Francisco,CA,94108
58,BP Issued,801 Brannan,801,Brannan Street,94103,LAND DED/ON,Combination Project,Rental,432,55,0,0,55,,,,2013,,"801 Brannan Street, San Francisco, CA 94103",37.77296964,-122.4032671,801 Brannan Street,San Francisco,CA,94103
80,First Const Doc Issued,468 Clementina,468,Clementina Street,94103,FEE,Fee BMR Project,Unknown,25,0,0,0,0,,,,2013,,"468 Clementina Street, San Francisco, CA 94103",37.77956376,-122.4054375,468 Clementina Street,San Francisco,CA,94103
52,Completed,Embarcadero Lofts,300,Beale Street,94105,ON,On-Site BMR Project,Ownership,67,6,0,0,6,,,,1995,1998,"300 Beale Street, San Francisco, CA 94105",37.78835797,-122.392328,300 Beale Street,San Francisco,CA,94105
285,Completed,310 Townsend,310,Townsend Street,94107,FEE,Fee BMR Project,Ownership,45,0,0,0,0,,,,2005,2007,"310 Townsend Street, San Francisco, CA 94107",37.77681326,-122.395408,310 Townsend Street,San Francisco,CA,94107
159,Completed,410 Jessie Street,410,Jessie Street,94103,ON,On-Site BMR Project,Ownership,24,2,0,0,2,,,39637,2005,2007,"410 Jessie Street, San Francisco, CA 94103",37.78301369,-122.4075888,410 Jessie Street,San Francisco,CA,94103
116,First Const Doc Issued,344 Fulton,344,Fulton Street,94102,ON,On-Site BMR Project,Rental,69,8,0,0,8,,,,2013,,"344 Fulton Street, San Francisco, CA 94102",37.77878827,-122.4232229,344 Fulton Street,San Francisco,CA,94102
270,Entitled,1 Stanyan,1,Stanyan Street,94118,FEE,Fee BMR Project,Unknown,13,0,0,0,0,,,,2008,,"1 Stanyan Street, San Francisco, CA 94118",37.78123115,-122.4563058,1 Stanyan Street,San Francisco,CA,94118
7,Completed,4343 3rd Street,4343,03rd Street,94124,ON,On-Site BMR Project,Ownership,16,2,0,0,2,,,,2003,2007,"4343 3rd Street, San Francisco, CA 94124",37.7381496,-122.3893977,4343 3rd Street,San Francisco,CA,94124
248,Completed,Lofts@One Powell (10 Cyril Magnin),1,Powell Street,94102,ON,On-Site BMR Project,Rental,40,4,0,0,4,,,38457,2003,2005,"1 Powell Street, San Francisco, CA 94102",37.78473404,-122.4077029,1 Powell Street,San Francisco,CA,94102
136,Completed,870 Harrison Street,870,Harrison Street,94107,ON,On-Site BMR Project,Ownership,26,4,0,0,4,,,42046,2009,,"870 Harrison Street, San Francisco, CA 94107",37.77960409,-122.4012178,870 Harrison Street,San Francisco,CA,94107
212,Completed,SOMA Grand,1160,Mission Street,94103,ON,On-Site BMR Project,Ownership,246,29,0,0,29,NA,,39658,2003,2008,"1160 Mission Street, San Francisco, CA 94103",37.77823402,-122.4122279,1160 Mission Street,San Francisco,CA,94103
74,First Const Doc Issued,Habitat Terrace,1,Capitol Avenue,94112,ON (FOR OFF-SITE),Units for Off-Site Project,Ownership,11,0,0,17,17,800 Brotherhood Way (17 units),,,2010,,"1 Capitol Avenue, San Francisco, CA 94112",37.71090027,-122.4590506,1 Capitol Avenue,San Francisco,CA,94112
123,Completed,1828 Geneva,1828,Geneva Avenue,94134,ON,On-Site BMR Project,Rental,48,6,0,0,6,,,,2002,2008,"1828 Geneva Avenue, San Francisco, CA 94134",37.71001779,-122.4245193,1828 Geneva Avenue,San Francisco,CA,94134
278,Completed,723 Taylor Street,723,Taylor Street,94108,ON,On-Site BMR Project,Ownership,12,1,0,0,1,,,40605,2006,2010,"723 Taylor Street, San Francisco, CA 94108",37.78922333,-122.4119928,723 Taylor Street,San Francisco,CA,94108
228,Completed,OceanView Terrace,8100,Oceanview Terrace,94132,ON,On-Site BMR Project,Ownership,15,2,0,0,2,,,,2002,2003,"8100 Oceanview Terrace, San Francisco, CA 94132",37.70990602,-122.4674418,8100 Oceanview Terrace,San Francisco,CA,94132
10,Completed,Mosso,260,05th Street,94103,ON,On-Site BMR Project,Rental,181,27,0,0,27,,,41864,2010,2014,"260 5th Street, San Francisco, CA 94103",37.78081744,-122.4040881,260 5th Street,San Francisco,CA,94103
34,Completed,3500 19th Street,3500,19th Street,94110,FEE,Fee BMR Project,Unknown,17,0,0,0,0,,,,2008,2012,"3500 19th Street, San Francisco, CA 94110",37.76011785,-122.4217411,3500 19th Street,San Francisco,CA,94110
165,Completed,The Lansing,40-50,Lansing (aka 50 Lansing or 40 Lansing),94105,ON,On-Site BMR Project,Ownership,82,10,0,0,10,,,38747,2003,2006,"40 Lansing St., San Francisco, CA 94105",37.78603382,-122.3940587,40 Lansing St,San Francisco,CA,94105
294,Completed,Carlin Senior Apartments,286,Valencia Street,94103,ON,On-Site BMR Project,Rental,36,4,0,0,4,,,,1998,2000,"286 Valencia Street, San Francisco, CA 94103",37.7683267,-122.4222343,286 Valencia Street,San Francisco,CA,94103
188,Completed,Garfield Building,938-942,Market Street,94102,ON/ON (FOR OFF-SITE),Combination Project,Ownership,15,2,0,11,13,690 Market St. (11 units),,39303,2004,2007,"938 Market Street, San Francisco, CA 94102",37.78353452,-122.4087169,938 Market Street,San Francisco,CA,94102
40,Completed,3930 24th Street,3922-32,24th Street,94114,ON,On-Site BMR Project,Rental,19,2,0,0,2,,,,1995,2003,"3922 24th Street, San Francisco, CA 94114",37.75155755,-122.4302807,3922 24th Street,San Francisco,CA,94114
97,Completed,149 Fair Oaks,149,Fair Oaks,94110,ON,On-Site BMR Project,Rental,12,1,0,0,1,,,,2001,2002,"149 Fair Oaks, San Francisco, CA 94110",37.74525742,-122.4189652,149 Fair,San Francisco,CA,94110
230,Completed,1355 Pacific Avenue,1355,Pacific Avenue,94109,ON,On-Site BMR Project,Ownership,23,2,0,0,2,,,40486,2008,2010,"1355 Pacific Avenue, San Francisco, CA 94109",37.79552286,-122.417586,1355 Pacific Avenue,San Francisco,CA,94109
147,Completed,1945 Hyde Street,1945,Hyde Street,94109,FEE,Fee BMR Project,Unknown,7,0,0,0,0,,,,2011,2014,"1945 Hyde Street, San Francisco, CA 94109",37.79886448,-122.4190229,1945 Hyde Street,San Francisco,CA,94109
51,Completed,BaySide Vista,2011,Bayshore Blvd.,94134,ON,On-Site BMR Project,Ownership,64,6,0,0,6,,,39974,2007,2009,"2011 Bayshore Blvd., San Francisco, CA 94134",37.71512585,-122.3989006,2011 Bayshore Blvd,San Francisco,CA,94134
255,First Const Doc Issued,2895 San Bruno Avenue,2895,San Bruno Avenue,94134,ON,On-Site BMR Project,Ownership,10,1,0,0,1,,,,2013,,"2895 San Bruno Avenue, San Francisco, CA 94134",37.72546413,-122.4026685,2895 San Bruno Avenue,San Francisco,CA,94134
198,Completed,900 Minnesota,900,Minnesota Street,94107,FEE,Fee BMR Project,Ownership,142,0,0,0,0,,,,2005,2010,"900 Minnesota Street, San Francisco, CA 94107",37.75911886,-122.390365,900 Minnesota Street,San Francisco,CA,94107
291,Completed,222 Valencia Street,222,Valencia Street,94103,ON,On-Site BMR Project,Ownership,10,1,0,0,1,,,,2002,2003,"222 Valencia Street, San Francisco, CA 94103",37.76945709,-122.4223645,222 Valencia Street,San Francisco,CA,94103
111,Completed,333 Fremont Street,333,Fremont Street,94105,FEE,Fee BMR Project,Rental,83,0,0,0,0,,,,2005,2014,"333 Fremont Street, San Francisco, CA 94105",37.78745343,-122.3928707,333 Fremont Street,San Francisco,CA,94105
186,Completed,"Trinity Plaza Apartments, Phase II",1167,Market Street,94103,ON,On-Site BMR Project,Rental,418,63,0,0,63,,,41393,2006,2013,"1167 Market Street, San Francisco, CA 94103",37.77922755,-122.4140445,1167 Market Street,San Francisco,CA,94103
238,Completed,725 Pine Street,725,Pine Street,94108,ON,On-Site BMR Project,Ownership,22,2,0,0,2,,,39290,2006,2007,"725 Pine Street, San Francisco, CA 94108",37.79123291,-122.4077351,725 Pine Street,San Francisco,CA,94108
225,Entitled,1490 Ocean,1490,Ocean Avenue,94112,FEE,Fee BMR Project,Unknown,13,0,0,0,0,,,,2013,,"1490 Ocean Avenue, San Francisco, CA 94112",37.72429802,-122.457993,1490 Ocean Avenue,San Francisco,CA,94112
82,Completed,69 Clementina,69,Clementina Street,94105,ON,On-Site BMR Project,Ownership,18,2,0,0,2,,,38747,2003,2005,"69 Clementina Street, San Francisco, CA 94105",37.78650741,-122.3965315,69 Clementina Street,San Francisco,CA,94105
203,First Const Doc Issued,1400 Mission Street,1400,Mission Street,94103,ON (FOR OFF-SITE),Units for Off-Site Project,Ownership,23,3,0,164,167,201 Folsom (164 untis),,,2013,,"1400 Mission Street, San Francisco, CA 94103",37.77523922,-122.4160105,1400 Mission Street,San Francisco,CA,94103
184,Completed,"NEMA, Phase I (South & North Tower)",1407-1435,Market Street,94103,ON,On-Site BMR Project,Rental,317,38,0,0,38,,,41527,2007,2013,"1407 Market Street, San Francisco, CA 94103",37.77640353,-122.4176405,1407 Market Street,San Francisco,CA,94103
90,Completed,100 Diana,100,Diana Street,94124,ON,On-Site BMR Project,Ownership,18,3,0,0,3,,,,1991,1996,"100 Diana Street, San Francisco, CA 94124",37.73032859,-122.3963012,100 Diana Street,San Francisco,CA,94124
86,Completed,55 Trumbell,4,Craut Street,94112,ON,On-Site BMR Project,Rental,18,2,0,0,2,,,,2005,2011,"4 Craut Street, San Francisco, CA 94112",37.73076693,-122.428414,4 Craut Street,San Francisco,CA,94112
275,Completed,Blanc,1080,Sutter Street,94109,ON,On-Site BMR Project,Ownership,35,4,0,0,4,,,41730,2009,2014,"1080 Sutter Street, San Francisco, CA 94109",37.78805838,-122.4180123,1080 Sutter Street,San Francisco,CA,94109
187,Completed,1600 Market,1600,Market Street,94102,ON (FOR OFF-SITE),Units for Off-Site Project,Ownership,24,0,0,23,23,1998 Market (23 units),,41577,2011,2014,"1600 Market Street, San Francisco, CA 94102",37.77389453,-122.4209172,1600 Market Street,San Francisco,CA,94102
9,Completed,The Palms,555-557,04th Street,94107,OFF-SITE,Off-Site BMR Project,Ownership,300,0,56,0,0,,785 Brannan Street (56 rental units),,2003,2007,"555 4th Street, San Francisco, CA 94107",37.77894383,-122.3972609,555 4th Street,San Francisco,CA,94107
192,Completed,125 Mason,125,Mason Street,94102,ON (FOR OFF-SITE),Units for Off-Site Project,Rental,0,0,0,81,81,301 Mission (Millennium Tower) (80 units),,39660,2006,2008,"125 Mason Street, San Francisco, CA 94102",37.78477437,-122.4094036,125 Mason Street,San Francisco,CA,94102
38,Completed,616 20th Street,616,20th Street,94107,ON,On-Site BMR Project,Ownership,16,2,0,0,2,,,41753,2011,2013,"616 20th Street, San Francisco, CA 94107",37.76055802,-122.3879424,616 20th Street,San Francisco,CA,94107
227,Completed,Avalon Ocean Avenue,1150,Ocean Avenue,94112,ON,On-Site BMR Project,Rental,173,26,0,0,26,,,41031,2009,2012,"1150 Ocean Avenue, San Francisco, CA 94112",37.72372764,-122.4551239,1150 Ocean Avenue,San Francisco,CA,94112
44,Completed,Mosaica 601,601,Alabama Street,94110,ON,On-Site BMR Project,Ownership,34,21,0,0,21,,,39701,2005,2009,"601 Alabama Street, San Francisco, CA 94110",37.76099358,-122.4119248,601 Alabama Street,San Francisco,CA,94110
71,Completed,2829 California,2829,California  Street,94115,ON,On-Site BMR Project,Ownership,13,2,0,0,2,,,41250,2008,2012,"2829 California Street, San Francisco, CA 94115",37.78797311,-122.4410361,2829 California Street,San Francisco,CA,94115
110,First Const Doc Issued,181 Fremont,181,Fremont Street,94105,FEE,Fee BMR Project,Ownership,74,0,0,0,0,,,,2012,,"181 Fremont Street, San Francisco, CA 94105",37.78959437,-122.3955405,181 Fremont Street,San Francisco,CA,94105
207,Completed,Mission Valencia (FNA Valencia Triangle),3184,Mission Street,94110,ON,On-Site BMR Project,Ownership,20,2,0,0,2,,,40052,2004,2006,"3184 Mission Street, San Francisco, CA 94110",37.7461568,-122.4195667,3184 Mission Street,San Francisco,CA,94110
288,Completed,170 Off Third,177,Townsend Street (aka 170 King Street),94107,ON,On-Site BMR Project,Ownership,198,24,0,0,24,,,39087,2003,2007,"177 Townsend Street, San Francisco, CA 94107",37.77933676,-122.3921113,177 Townsend Street,San Francisco,CA,94107
210,Completed,The Bouganvillea,5810,Mission Street,94112,ON,On-Site BMR Project,Ownership,27,3,0,0,3,,,,1992,1998,"5810 Mission Street, San Francisco, CA 94112",37.70925728,-122.4514677,5810 Mission Street,San Francisco,CA,94112
195,Completed,68 McCoppin,68,McCoppin Street,94103,ON,On-Site BMR Project,Ownership,12,1,0,0,1,,,,2002,1996,"68 McCoppin Street, San Francisco, CA 94103",37.77166832,-122.4217906,68 McCoppin Street,San Francisco,CA,94103
166,First Const Doc Issued,45 Lansing,45,Lansing Street,94105,FEE,Fee BMR Project,Unknown,320,0,0,0,0,,,,2011,,"45 Lansing Street, San Francisco, CA 94105",37.78604765,-122.3939504,45 Lansing Street,San Francisco,CA,94105
137,Completed,3000 23rd Street,2690,Harrison Street,94110,ON,On-Site BMR Project,Rental,54,7,0,0,7,,,,2003,2006,"2690 Harrison Street, San Francisco, CA 94110",37.75451776,-122.4121034,2690 Harrison Street,San Francisco,CA,94110
202,First Const Doc Issued,1321 Mission Street/104 - 9th Street,1321,Mission Street,94103,ON,On-Site BMR Project,Rental,80,10,0,0,10,,,,2013,,"1321 Mission Street, San Francisco, CA 94103",37.77603452,-122.4149193,1321 Mission Street,San Francisco,CA,94103
25,First Const Doc Issued,Daggett Triangle,1000,16th Street,94107,ON,On-Site BMR Project,Rental,470,94,0,0,94,,,,2011,,"1000 16th Street, San Francisco, CA 94107",37.76645244,-122.3969926,1000 16th Street,San Francisco,CA,94107
223,Completed,Portola Place,2601,"Newhall, Armstrong, Orsi, Williams, Lydia, Bitting, Kalmanovitz",94124,ON,On-Site BMR Project,Ownership,259,24,0,0,24,,,,1992,1996,"2601 Newhall Street, San Francisco, CA 94124",37.729169,-122.397833,,,,
3,Entitled,2290 3rd Street,2290,03rd Street,94107,FEE,Fee BMR Project,Ownership,71,0,0,0,0,,,,2013,,"2290 3rd Street, San Francisco, CA 94107",37.76079769,-122.388734,2290 3rd Street,San Francisco,CA,94107
14,Completed,1266 9th Avenue,1266,09th Avenue,94122,FEE,Fee BMR Project,Unknown,15,0,0,0,0,,,,2008,2014,"1266 9th Avenue, San Francisco, CA 94122",37.7645622,-122.4663148,1266 9th Avenue,San Francisco,CA,94122
68,Completed,The Midtown,1452,Bush Street,94109,ON,On-Site BMR Project,Ownership,22,2,0,0,2,,,,2001,2004,"1452 Bush Street, San Francisco, CA 94109",37.78859765,-122.4212329,1452 Bush Street,San Francisco,CA,94109
55,Completed,Bridgeview,400,Beale Street,94105,ON,On-Site BMR Project,Ownership,245,24,0,0,24,,,,1997,2003,"400 Beale Street, San Francisco, CA 94105",37.78705705,-122.3907078,400 Beale Street,San Francisco,CA,94105
98,Completed,280 Fell / 300 Gough,280,Fell Street,94102,ON,On-Site BMR Project,Rental,34,4,0,0,4,,,,1998,2000,"280 Fell Street, San Francisco, CA 94102",37.77601819,-122.4224325,280 Fell Street,San Francisco,CA,94102
154,Completed,Millwheel South,1275-1301,Indiana Street,94107,ON,On-Site BMR Project,Ownership,32,4,0,0,4,,,41110,2004,2012,"1275 Indiana Street, San Francisco, CA 94107",37.75462907,-122.3908484,1275 Indiana Street,San Francisco,CA,94107
28,Completed,The Valencia @ 17th (AKA 601 Valencia),3371,17th Street,94110,ON,On-Site BMR Project,Ownership,25,2,0,0,2,,,37858,2000,2003,"3371 17th Street, San Francisco, CA 94110",37.76329354,-122.4213078,3371 17th Street,San Francisco,CA,94110
149,Completed,168 Hyde Street,168,Hyde Street,94102,ON,On-Site BMR Project,Ownership,31,3,0,0,3,,,,2008,2008,"168 Hyde Street, San Francisco, CA 94102",37.78235804,-122.4156064,168 Hyde Street,San Francisco,CA,94102
272,Completed,1285 Sutter Street,1285,Sutter Street,94109,FEE,Fee BMR Project,Unknown,107,0,0,0,0,,,,2008,2013,"1285 Sutter Street, San Francisco, CA 94109",37.78758364,-122.4212364,1285 Sutter Street,San Francisco,CA,94109
5,First Const Doc Issued,5800 Third Street - Building 3,5800,03rd Street,94124,ON,On-Site BMR Project,Ownership,150,23,0,0,23,,,,2012,,"5800 3rd Street, San Francisco, CA 94124",37.72488453,-122.3946798,5800 3rd Street,San Francisco,CA,94124
273,Completed,1158 Sutter Street,1158,Sutter Street,94109,ON,On-Site BMR Project,Ownership,14,2,0,0,2,,,40702,2005,2008,"1158 Sutter Street, San Francisco, CA 94109",37.78785788,-122.4195529,1158 Sutter Street,San Francisco,CA,94109
267,Entitled,793 South Van Ness Avenue,793,South Van Ness Avenue,94110,ON,On-Site BMR Project,Unknown,29,3,0,0,3,,,,2008,,"793 South Van Ness Avenue, San Francisco, CA 94110",37.76065366,-122.4170548,793 South Van Ness Avenue,San Francisco,CA,94110
128,Completed,Landmark Union Sq.,333,Grant Avenue,94108,ON,On-Site BMR Project,Ownership,39,2,0,0,2,,,38085,2003,2004,"333 Grant Avenue, San Francisco, CA 94108",37.79021545,-122.4055239,333 Grant Avenue,San Francisco,CA,94108
36,Completed,Chelsea Park,3620,19th Street,94110,ON,On-Site BMR Project,Ownership,39,5,0,0,5,,,39821,2001,2008,"3620 19th Street, San Francisco, CA 94110",37.75997842,-122.4242104,3620 19th Street,San Francisco,CA,94110
183,Completed,"Trinity Plaza Apartments, Phase I",1167,Market Street,94103,ON,On-Site BMR Project,Rental,440,12,0,0,12,,,40274,2006,2009,"1167 Market Street, San Francisco, CA 94103",37.77922755,-122.4140445,1167 Market Street,San Francisco,CA,94103
211,Completed,Tiffany Gardens,3249,Mission Street,94110,ON,On-Site BMR Project,Rental,33,3,0,0,3,,,,2001,2004,"3249 Mission Street, San Francisco, CA 94110",37.74486279,-122.420333,3249 Mission Street,San Francisco,CA,94110
76,Completed,555 Bartlett,3400,Cesar Chavez Street,94110,ON,On-Site BMR Project,Ownership,58,9,0,0,9,,,40268,2007,2010,"3400 Cesar Chavez Street, San Francisco, CA 94110",37.74819749,-122.41832,3400 Cesar Chavez Street,San Francisco,CA,94110
140,Entitled,580 Hayes Street,580,Hayes Street,94102,FEE,Fee BMR Project,Unknown,29,0,0,0,0,,,,2014,,"580 Hayes Street, San Francisco, CA 94102",37.77652749,-122.4259827,580 Hayes Street,San Francisco,CA,94102
67,First Const Doc Issued,2655 Bush Street,2655,Bush Street,94115,FEE,Fee BMR Project,Unknown,81,0,0,0,0,,,,2009,,"2655 Bush Street, San Francisco, CA 94115",37.78605341,-122.4408252,2655 Bush Street,San Francisco,CA,94115
304,Entitled,2601 Van Ness Avenue,2601,Van Ness Avenue,94109,FEE,Fee BMR Project,Unknown,27,0,0,0,0,,,,2014,,"2601 Van Ness Avenue, San Francisco, CA 94109",37.79971486,-122.4243234,2601 Van Ness Avenue,San Francisco,CA,94109
27,First Const Doc Issued,1001 17th Street (aka 140 Pennsylvania Avenue),1001,17th Street,94107,ON,On-Site BMR Project,Ownership,37,5,0,0,5,,,,2013,,"1001 17th Street, San Francisco, CA 94107",37.76526279,-122.3941474,1001 17th Street,San Francisco,CA,94107
171,Completed,3208 Pierce,2298,Lombard Street,94123,ON,On-Site BMR Project,Ownership,14,1,0,0,1,,,39213,2004,2007,"2298 Lombard Street, San Francisco, CA 94123",37.79947749,-122.4390933,2298 Lombard Street,San Francisco,CA,94123
91,Completed,200 Dolores Street,200,Dolores Street,94103,FEE,Fee BMR Project,Unknown,11,0,0,0,0,,,,2010,2013,"200 Dolores Street, San Francisco, CA 94103",37.76608667,-122.4266141,200 Dolores Street,San Francisco,CA,94103
100,Completed,829 Folsom,829,Folsom Street,94107,FEE,Fee BMR Project,Unknown,69,0,0,0,0,,,,2004,2009,"829 Folsom Street, San Francisco, CA 94107",37.78140741,-122.4019207,829 Folsom Street,San Francisco,CA,94107
96,Completed,Candlestick Cove - Building B,NA,Executive Park St. Francis Bay Phase III,94124,FEE,Fee BMR Project,Unknown,98,0,0,0,0,,,,2005,2009,"101 Executive Park Blvd., San Francisco, CA 94134",37.71112974,-122.3948186,101 Executive Park Blvd,San Francisco,CA,94134
244,First Const Doc Issued,480 Potrero,480,Potrero,94110,ON,On-Site BMR Project,Rental,75,11,0,0,11,,,,2013,,"480 Potrero, San Francisco, CA 94110",37.76348827,-122.407394,480 Potrero,San Francisco,CA,94110
117,First Const Doc Issued,555 Fulton Street,555,Fulton Street,94102,ON,On-Site BMR Project,Ownership,139,17,0,0,17,,,,2013,,"555 Fulton Street, San Francisco, CA 94102",37.77840341,-122.4258156,555 Fulton Street,San Francisco,CA,94102
249,Completed,Northpoint Apartments,2351,Powell Street,94133,ON,On-Site BMR Project,Rental,72,9,0,0,9,,,39331,2004,2006,"2351 Powell Street, San Francisco, CA 94133",37.80629324,-122.4120631,2351 Powell Street,San Francisco,CA,94133
13,BP Issued,350 8th Street,350,08th Street,94103,ON,On-Site BMR Project,Rental,416,62,0,0,62,,,,2012,,"350 8th Street, San Francisco, CA 94103",37.77418721,-122.4090787,350 8th Street,San Francisco,CA,94103
135,Completed,Harbor Lofts (AKA 400 Spear),101,Harrison Street,94105,ON,On-Site BMR Project,Ownership,12,2,0,0,2,,,,1995,2003,"101 Harrison Street, San Francisco, CA 94105",37.78860686,-122.3896812,101 Harrison Street,San Francisco,CA,94105
20,Completed,480 14th Street,480,14th Street,94103,ON,On-Site BMR Project,Ownership,12,1,0,0,1,,,,2006,2009,"480 14th Street, San Francisco, CA 94103",37.76807781,-122.4239108,480 14th Street,San Francisco,CA,94103
213,Completed,Vara,1880-1886,Mission Street,94103,ON,On-Site BMR Project,Rental,202,40,0,0,40,,,41407,2009,2013,"1880 Mission Street, San Francisco, CA 94103",37.76716751,-122.4199044,1880 Mission Street,San Francisco,CA,94103
83,Completed,436 Clementina,436,Clementina Street,94103,ON,On-Site BMR Project,Rental,20,3,0,0,3,,,39984,2003,2008,"436 Clementina Street, San Francisco, CA 94103",37.78004426,-122.4048371,436 Clementina Street,San Francisco,CA,94103
253,Completed,"One Rincon, Phase II",1,Rincon Hill (aka 425 First/401Harrison St),94105,FEE,Fee BMR Project,Unknown,298,0,0,0,0,,,,2005,2014,"401 Harrison Street, San Francisco, CA 94105",37.78656733,-122.3923015,401 Harrison Street,San Francisco,CA,94105
104,First Const Doc Issued,Lumina,201,Folsom Street,94105,OFF-SITE,Off-Site BMR Project,Ownership,725,0,164,0,0,,10th & Mission Street (164/190 ownership units),,2009,,"201 Folsom Street, San Francisco, CA 94105",37.78904704,-122.3922611,201 Folsom Street,San Francisco,CA,94105
174,Completed,ICON,2299,Market Street,94114,FEE,Fee BMR Project,Unknown,18,0,0,0,0,,,,2010,2013,"2299 Market Street, San Francisco, CA 94114",37.76419808,-122.4329597,2299 Market Street,San Francisco,CA,94114
305,First Const Doc Issued,100 Van Ness Avenue,100,Van Ness Avenue,94102,ON,On-Site BMR Project,Rental,399,60,0,0,50,,,,2012,,"100 Van Ness Avenue, San Francisco, CA 94102",37.77668766,-122.4195253,100 Van Ness Avenue,San Francisco,CA,94102
298,Completed,2559 Van Ness Avenue & 1527 Filbert Street,2559,Van Ness Avenue,94109,FEE,Fee BMR Project,Unknown,27,0,0,0,0,,,,2010,2014,"2559 Van Ness Avenue, San Francisco, CA 94109",37.79926432,-122.4242427,2559 Van Ness Avenue,San Francisco,CA,94109
178,Entitled,Ritz Carlton,690,Market Street,94104,FEE,Fee BMR Project,Ownership,19,0,0,0,0,,,,2014,,"690 Market Street, San Francisco, CA 94104",37.78806414,-122.4029785,690 Market Street,San Francisco,CA,94104
194,Completed,Village at Petrini Place,2001,McAllister Street,94117,ON,On-Site BMR Project,Ownership,134,13,0,0,13,,,,1999,2004,"2001 McAllister Street, San Francisco, CA 94117",37.77690486,-122.4450773,2001 McAllister Street,San Francisco,CA,94117
